title,name,location,time,verified,review,aircraft_model,type_of_traveller,seat_type,route,date_flown,rating,seat_comfort_rating,cabin_staff_service_rating,food_and_beverage_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommended
"""waiting for a response to my complaint""",P Darson,United Kingdom,2024-08-12,Trip Verified,"One of the people in the group is 6 feet 4 inches so I booked and paid for three front row seats on the Qatar Airways web site. The payment for just over £240 went through and was confirmed. When I checked in we had been moved to a normal economy seat. The check-in staff at Dubai (not Qatar Airways staff) tried to resolve it but couldn't. I was told to go to the transfer desk at Doha where they would have an answer. The staff there could not care less. The answer was 'there is a family sat there so there is nothing we can do'. Then seemed surprised that I wanted a refund and handed me a card at me with some email addresses on it. We boarded and the seats we should have had were occupied by three other people. No babies, no baby bassinets or any other reason we were moved out of them. The tall person in the group had to sit with one leg in the aisle and one under the middle seat. It was uncomfortable. The seat pitch on the 787 was tight and of course the person in front reclined as soon as the aircraft left the ground. My food was rubbish. I did get a refund but 2 weeks later I am still waiting for a response to my complaint. I am unsure how Qatar presents itself as a 5 star airline.",Boeing 787,Family Leisure,Economy Class,Dubai to Manchester via Doha,July 2024,1,1.0,2.0,1.0,1.0,1.0,1,no
"""inconsistency in service quality""",E Barsem,United Kingdom,2024-08-12,Trip Verified,,,Family Leisure,Economy Class,Dubai to Manchester via Doha,August 2024,3,1.0,1.0,1.0,4.0,2.0,1,no
"""you will be disappointed""",Robert Anuro,United States,2024-08-08,Trip Verified,,B777,Solo Leisure,Economy Class,Washington to Nairobi via Doha,August 2024,2,1.0,2.0,2.0,2.0,1.0,1,no
"""far from satisfactory""",Alessandro Di Meo,Australia,2024-08-06,Trip Verified,,,Solo Leisure,Business Class,Adelaide to Barcelona via Doha,June 2024,2,5.0,4.0,1.0,3.0,1.0,1,no
"""Customer service at Doha was very poor""",Astrid Toegimin,Netherlands,2024-08-05,Not Verified,,Boeing 777,Family Leisure,Economy Class,Jakarta to Amsterdam via Doha,August 2024,4,3.0,4.0,4.0,3.0,1.0,2,no
had an aircraft change,Russell Teasdale,United Kingdom,2024-08-04,Not Verified,,Boeing 777,Family Leisure,Business Class,Nairobi to Madrid via Doha,August 2024,3,1.0,4.0,3.0,1.0,3.0,1,no
"""delayed for 8 hours""",Jay Shah,India,2024-08-01,Trip Verified,,,Couple Leisure,Economy Class,San Francisco to Ahmedabad via Doha,August 2024,4,3.0,3.0,3.0,1.0,2.0,2,no
"""Really poor experience""",C Marwan,United Arab Emirates,2024-07-30,Trip Verified,Really poor experience. After a missed connection I was offered an overnight hotel stay . I really didn’t want this so asked to stay overnight in the airport and go on an earlier flight. By 2:30am my only solution was to accept the hotel which was a 30 min bus ride from the airport. I travelled on a very shoddy mini bus with 10 men (I was the only female) at 2:30am to a very old and run down hotel. Checking in took another 30 mins where I refused to sign a document accepting I felt safe in the hotel. I was left with no other option . When I raised a complaint with Qatar once I finally got home they do not care. Not worth it especially if it’s a tight connection in Doha. Customer service on the ground had an attitude and we’re not listening to my concerns.,,Solo Leisure,Economy Class,Dublin to Dubai via Doha,July 2024,3,3.0,1.0,,,1.0,2,no
Service was great,Carolina Barrenechea,South Africa,2024-07-26,Not Verified,,,Couple Leisure,Economy Class,Madrid to Johannesburg via Doha,July 2024,7,4.0,5.0,5.0,,5.0,5,
exceeded the weight,Enrique Puente,Spain,2024-07-22,Trip Verified,,,Couple Leisure,Economy Class,Madrid to Doha,July 2024,3,3.0,3.0,3.0,3.0,2.0,3,no
"""give you whatever seats they want""",Andrew Lehotzky,United States,2024-07-20,Trip Verified,,,Couple Leisure,Economy Class,Kilimanjaro to London via Doha,June 2024,1,1.0,1.0,1.0,1.0,1.0,1,no
"""Terrific business class seating""",Billy D Baker,United States,2024-07-18,Trip Verified,,,Solo Leisure,Business Class,Bangkok to Doha,July 2024,10,5.0,5.0,5.0,5.0,5.0,5,
"""did a wonderful job""",Billy Baker,United Kingdom,2024-07-18,Trip Verified,,Boeing 787,Solo Leisure,Business Class,Frankfurt to Doha,July 2024,10,5.0,5.0,5.0,5.0,5.0,5,
"""I can't even say how grateful I am""",Armine Hovsepyan,Armenia,2024-07-18,Trip Verified,,Boeing 777-300ER,Solo Leisure,Economy Class,Beijing to Yerevan via Doha,July 2024,10,5.0,5.0,5.0,5.0,5.0,5,
Service was expectedly world class,Rajan Parrikar,Iceland,2024-07-13,Trip Verified,,Boeing 787-8,Couple Leisure,Business Class,Doha to Goa,July 2024,10,5.0,5.0,3.0,,5.0,4,
a high level of comfort,Rajan Parrikar,Iceland,2024-07-13,Trip Verified,,Boeing 787-9,Couple Leisure,Business Class,Copenhagen to Doha,July 2024,10,5.0,5.0,3.0,,5.0,4,
"""overall it was a good flight""",Emilio Chrisostomou,Australia,2024-07-13,Not Verified,"The check in process was smooth and simple, they had self check in too which I liked, within 45 minutes I was sitting at the gate waiting to board my 10.45pm flight to Doha. When I arrived on the aircraft I was very kindly greeted by the cabin crew, it was lovely and bright when I got into the aircraft. When I arrived at my seat there was a pillow, blanket, headphones, and amenity kit waiting for me, they also had an adjustable head rest and reading light. Very good variety of entertainment on there and I was very impressed with how attentive the touchscreen was. About 1 hour after take-off they served the meal, it was very good food, then for about 7 hours they let you rest and then another meal - for me it was dinner and breakfast given the time of the flight. Qatar Airways food is not too bad at all! It was a smooth take-off and landing, overall it was a good flight, better than I expected and can't wait to fly home from holiday with Qatar Airways.",A380,Family Leisure,Economy Class,Perth to Paris via Doha,June 2024,10,3.0,5.0,4.0,5.0,4.0,5,
"""worst possible check in Singapore""",Ranjan Ramchandani,Singapore,2024-07-11,Not Verified,"The worst possible check in Singapore. We were a family of three flying to Washington DC on 28th May in business class. The check in staff was uninterested, unhelpful almost to the point of being rude. She was taking almost 10 mins per passenger at check in. Onboard service was fantastic and second to none; the true Qatar service I had seen on a previous flight I had taken, but after this incident at Singapore airport, I would never fly Qatar Airways out of Singapore. It’s too stressful.",,Family Leisure,Business Class,Singapore to Washington via Doha,May 2024,5,3.0,5.0,4.0,3.0,1.0,3,no
"""no snack before landing""",M Haider,Netherlands,2024-07-11,Trip Verified,,Boeing 787,Couple Leisure,Economy Class,Doha to Bangkok,June 2024,2,1.0,3.0,1.0,4.0,3.0,1,no
"""extremely helpful""",V Vatsalya,United States,2024-07-11,Trip Verified,,,Business,Economy Class,Boston to Delhi via Doha,July 2024,10,,,,,,5,
"""deeply disappointing experience""",R Halsawan,United States,2024-07-10,Trip Verified,,,Couple Leisure,Economy Class,Doha to Houston,July 2024,1,1.0,,,,1.0,1,no
"""kept my business class upgrade""",E Beale,Australia,2024-07-08,Trip Verified,,,Couple Leisure,Economy Class,Adelaide to Milan via Doha,August 2024,2,,,,,,2,no
"""their exceptional service""",Uzma Rana,United Kingdom,2024-07-07,Trip Verified,,Boeing 777-300ER,Solo Leisure,Business Class,Doha to Heathrow,July 2024,10,4.0,5.0,5.0,5.0,5.0,5,
"""excellent personal attitude""",Maciej Rasmus,Poland,2024-07-05,Trip Verified,,A380,Solo Leisure,Economy Class,Perth to Dammam via Doha,July 2024,10,5.0,5.0,5.0,5.0,5.0,5,
"""thoroughly enjoy flying Qatar Airways""",R Largeni,Kenya,2024-07-05,Trip Verified,,Boeing 777-300Er,Family Leisure,Business Class,Nairobi to Barcelona via Doha,June 2024,7,5.0,5.0,3.0,5.0,5.0,4,
"""The cabin service was perfect""",Alwaleed Althani,Qatar,2024-07-04,Trip Verified,,A380-800,Family Leisure,First Class,Doha to Sydney,June 2024,10,5.0,5.0,4.0,5.0,5.0,4,
"""Qatar Airways is my first option""",Herman Troubleyn,Belgium,2024-07-01,Not Verified,It was a mixed class. Flying economy with my favourite plane the A380. And Business from Doha to Brussels. We were able to get an upgrade for the second flight. By filling up the remaining seats Qatar is letting you taste of their excellent service in business. It's quite addictive. We got seats 1E and 1F and could enjoy the great food and during a sanitary stop my seat was converted to a bed and we could get a really good sleep during the flight. On the first flight from Bangkok to Doha we were seated in the A380 which is very quiet and the seats are large enough to fit my large legs. I've contacted the helpdesk (by chat/ telephone) numerous times and they react quickly and very friendly. For me Qatar Airways is my first option to look for a next flight.,A380 / Boeing 787,Couple Leisure,Economy Class,Bangkok to Brussels via Doha,June 2024,10,5.0,5.0,4.0,5.0,5.0,4,
"""aren’t anything special""",Richard Laycock,United Kingdom,2024-06-29,Trip Verified,,,Solo Leisure,Economy Class,Hanoi to Manchester via Doha,March 2024,6,3.0,2.0,1.0,4.0,5.0,2,
"""increase Avios required for upgrades""",S Hartaye,Norway,2024-06-27,Trip Verified,,Boeing 787,Family Leisure,Business Class,Doha to Oslo,June 2024,2,3.0,4.0,,,2.0,1,no
"""poor standard of food""",Michael Schade,Germany,2024-06-26,Trip Verified,,Boeing 787-9,Solo Leisure,Economy Class,Munich to Doha,June 2024,3,3.0,4.0,1.0,4.0,4.0,1,no
"""Had a very good flight""",Alimah Lawrie,Singapore,2024-06-23,Not Verified,"Had a very good flight with Qatar Airways. The cabin manager, Khalid, was superb in his service. He gave true and excellent service throughout the flight. Overall smooth flight from Singapore to Doha, had my 10 year old daughter with me. Only setback ,no ice cream on board.",,Family Leisure,Business Class,Singapore to Edinburgh via Doha,June 2024,8,5.0,5.0,5.0,5.0,5.0,4,
"request for a refund""",Susan Trehy,Portugal,2024-06-15,Trip Verified,,,Couple Leisure,Economy Class,Madrid to Bangkok via Doha,March 2024,1,1.0,1.0,1.0,3.0,1.0,1,no
always a pleasure to fly with Qatar,Erich Lichtscheidl,Austria,2024-06-14,Not Verified,,Boeing 777-300ER and Boeing 787-9,Family Leisure,Business Class,Hong Kong to Vienna via Doha,June 2024,9,5.0,5.0,5.0,5.0,5.0,5,
